genre,normalized_genre
Action & Adventure,Action/Adventure
Anime Features,Anime
Anime Series,Anime
British TV Shows,British TV Shows
Children & Family Movies,Kids/Family
Classic & Cult TV,Cult/Classic
Classic Movies,Cult/Classic
Comedies,Comedy
Crime TV Shows,Crime TV Shows
Cult Movies,Cult/Classic
Documentaries,Documentary
Docuseries,Documentary
Dramas,Drama
Faith & Spirituality,Faith & Spirituality
Horror Movies,Horror
Independent Movies,Independent Movies
International Movies,International
International TV Shows,International
Kids' TV,Kids/Family
Korean TV Shows,Korean TV Shows
LGBTQ Movies,LGBTQ+
Movies,General Movies
Music & Musicals,Music & Musicals
Reality TV,Reality TV
Romantic Movies,Romance
Romantic TV Shows,Romance
Sci-Fi & Fantasy,Sci-Fi & Fantasy
Science & Nature TV,Science & Nature TV
Spanish-Language TV Shows,Spanish-Language TV Shows
Sports Movies,Sports
Stand-Up Comedy,Comedy
Stand-Up Comedy & Talk Shows,Comedy
Teen TV Shows,Teen TV Shows
Thrillers,Thrillers
TV Action & Adventure,Action/Adventure
TV Comedies,Comedy
TV Dramas,Drama
TV Horror,Horror
TV Mysteries,TV Mysteries
TV Sci-Fi & Fantasy,Sci-Fi & Fantasy
TV Shows,General TV
TV Thrillers,Thrillers
