genre,year_added,number_of_titles
Action/Adventure,2012,2
Action/Adventure,2014,1
Action/Adventure,2015,4
Action/Adventure,2016,28
Action/Adventure,2017,133
Action/Adventure,2018,216
Action/Adventure,2019,301
Action/Adventure,2020,36
Anime,2016,20
Anime,2017,27
Anime,2018,38
Anime,2019,69
Anime,2020,6
"British TV Shows",2015,8
"British TV Shows",2016,19
"British TV Shows",2017,51
"British TV Shows",2018,54
"British TV Shows",2019,75
"British TV Shows",2020,2
Comedy,2008,1
Comedy,2012,5
Comedy,2013,7
Comedy,2014,9
Comedy,2015,36
Comedy,2016,137
Comedy,2017,347
Comedy,2018,525
Comedy,2019,704
Comedy,2020,69
"Crime TV Shows",2013,2
"Crime TV Shows",2014,1
"Crime TV Shows",2015,1
"Crime TV Shows",2016,29
"Crime TV Shows",2017,72
"Crime TV Shows",2018,106
"Crime TV Shows",2019,145
"Crime TV Shows",2020,6
Cult/Classic,2010,1
Cult/Classic,2012,1
Cult/Classic,2014,1
Cult/Classic,2015,1
Cult/Classic,2016,5
Cult/Classic,2017,30
Cult/Classic,2018,25
Cult/Classic,2019,73
Cult/Classic,2020,15
Documentary,2012,1
Documentary,2013,2
Documentary,2014,8
Documentary,2015,19
Documentary,2016,99
Documentary,2017,266
Documentary,2018,249
Documentary,2019,295
Documentary,2020,7
Drama,2008,1
Drama,2009,1
Drama,2011,13
Drama,2013,4
Drama,2014,3
Drama,2015,21
Drama,2016,117
Drama,2017,474
Drama,2018,681
Drama,2019,849
Drama,2020,56
"Faith & Spirituality",2011,1
"Faith & Spirituality",2016,1
"Faith & Spirituality",2017,5
"Faith & Spirituality",2018,21
"Faith & Spirituality",2019,19
"General Movies",2014,2
"General Movies",2015,3
"General Movies",2016,12
"General Movies",2017,6
"General Movies",2018,20
"General Movies",2019,12
"General TV",2016,2
"General TV",2017,3
"General TV",2018,2
"General TV",2019,3
Horror,2009,1
Horror,2010,1
Horror,2015,5
Horror,2016,14
Horror,2017,41
Horror,2018,94
Horror,2019,135
Horror,2020,25
"Independent Movies",2008,1
"Independent Movies",2015,7
"Independent Movies",2016,35
"Independent Movies",2017,126
"Independent Movies",2018,160
"Independent Movies",2019,210
"Independent Movies",2020,13
International,2009,1
International,2011,1
International,2013,1
International,2014,2
International,2015,15
International,2016,180
International,2017,678
International,2018,948
International,2019,1062
International,2020,37
Kids/Family,2011,1
Kids/Family,2012,5
Kids/Family,2013,3
Kids/Family,2014,7
Kids/Family,2015,23
Kids/Family,2016,67
Kids/Family,2017,129
Kids/Family,2018,168
Kids/Family,2019,270
Kids/Family,2020,31
"Korean TV Shows",2016,10
"Korean TV Shows",2017,39
"Korean TV Shows",2018,16
"Korean TV Shows",2019,62
"Korean TV Shows",2020,5
LGBTQ+,2015,1
LGBTQ+,2016,2
LGBTQ+,2017,16
LGBTQ+,2018,20
LGBTQ+,2019,21
"Music & Musicals",2013,1
"Music & Musicals",2015,6
"Music & Musicals",2016,9
"Music & Musicals",2017,54
"Music & Musicals",2018,94
"Music & Musicals",2019,75
"Music & Musicals",2020,4
"Reality TV",2016,5
"Reality TV",2017,16
"Reality TV",2018,44
"Reality TV",2019,83
"Reality TV",2020,5
Romance,2015,2
Romance,2016,55
Romance,2017,136
Romance,2018,172
Romance,2019,273
Romance,2020,16
"Sci-Fi & Fantasy",2012,1
"Sci-Fi & Fantasy",2013,1
"Sci-Fi & Fantasy",2014,2
"Sci-Fi & Fantasy",2015,4
"Sci-Fi & Fantasy",2016,12
"Sci-Fi & Fantasy",2017,34
"Sci-Fi & Fantasy",2018,71
"Sci-Fi & Fantasy",2019,111
"Sci-Fi & Fantasy",2020,24
"Science & Nature TV",2015,3
"Science & Nature TV",2016,10
"Science & Nature TV",2017,21
"Science & Nature TV",2018,10
"Science & Nature TV",2019,22
"Science & Nature TV",2020,1
"Spanish-Language TV Shows",2016,5
"Spanish-Language TV Shows",2017,25
"Spanish-Language TV Shows",2018,32
"Spanish-Language TV Shows",2019,54
Sports,2011,2
Sports,2013,1
Sports,2014,1
Sports,2015,3
Sports,2016,16
Sports,2017,37
Sports,2018,35
Sports,2019,58
Sports,2020,4
"Teen TV Shows",2013,1
"Teen TV Shows",2015,1
"Teen TV Shows",2016,3
"Teen TV Shows",2017,5
"Teen TV Shows",2018,6
"Teen TV Shows",2019,26
"Teen TV Shows",2020,2
Thrillers,2008,1
Thrillers,2011,1
Thrillers,2013,1
Thrillers,2014,1
Thrillers,2015,3
Thrillers,2016,21
Thrillers,2017,81
Thrillers,2018,129
Thrillers,2019,177
Thrillers,2020,20
"TV Mysteries",2013,1
"TV Mysteries",2015,2
"TV Mysteries",2016,5
"TV Mysteries",2017,12
"TV Mysteries",2018,17
"TV Mysteries",2019,32
